,cb amplifier,cc amplifier,ce amplifier,diode limiter & clamper,filter,multistage amplifier,ohm's law & kirchhoff's law,pn junction,power supply,pushpull amplifier,rectifier,series & parallel circuit,series/parallel combination,transistor,zener diode & regulator
alternating_current_behavior,,,,,{'autotutor deep reasoning conversations'},,,,{'autotutor knowledge check conversations'},,,,,,
basic_capacitor_filter_behavior,,,,,"{'autotutor knowledge check conversations', 'dragoon modeling'}",,,,,,,,,,
bridge_rectifier_behavior,,,,,{'autotutor knowledge check conversations'},,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,
bridge_rectifier_with_capacitor_behavior,,,,,{'autotutor knowledge check conversations'},,,,,,,,,,
capacitor_behavior,,,,"{'autotutor deep reasoning conversations', 'dragoon modeling'}","{'autotutor knowledge check conversations', 'dragoon modeling'}",,,,{'autotutor deep reasoning conversations'},,,,,,
cb_amplifier_structure,{'autotutor knowledge check conversations'},,,,,,,,,,,,,,
cb_transistor_amplifier_ac_behavior,{'autotutor knowledge check conversations'},,,,,,,,,,,,,,
cb_transistor_amplifier_dc_behavior,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,,,,,,,,
cb_transistor_amplifier_function,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,,,,,,,{'autotutor deep reasoning conversations'},
cc_transistor_amplifier_dc_behavior,,{'autotutor knowledge check conversations'},,,,,,,,,,,,,
cc_transistor_amplifier_function,,{'autotutor knowledge check conversations'},,,,,,,,,,,,,
cc_transistor_amplifier_parameter,,{'autotutor knowledge check conversations'},,,,,,,,,,,,,
cc_transistor_amplifier_structure,,{'autotutor knowledge check conversations'},,,,,,,,,,,,,
ce_push_pull_amplifier_ac_behavior,,,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,
ce_push_pull_amplifier_function,,,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,
ce_push_pull_amplifier_structure,,,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,
ce_transistor_battery_bias_behavior,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",,,,,,,,,,,,
ce_transistor_behavior,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",,,,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",
ce_transistor_fixed_bias_ac_behavior,,,{'autotutor knowledge check conversations'},,,,,,,,,,,,
ce_transistor_fixed_bias_behavior,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",,,,,,,,,,,,
ce_transistor_fixed_bias_dc_behavior,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'circuit reasoning'}",,,,,,,,,,,,
ce_transistor_fixed_bias_function,,,{'circuit reasoning'},,,,,,,,,,,,
ce_transistor_fixed_bias_structure,,,{'circuit reasoning'},,,,,,,,,,,,
ce_transistor_function,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",
ce_transistor_parameters,,,{'autotutor knowledge check conversations'},,,{'autotutor deep reasoning conversations'},,,,,,,,{'autotutor knowledge check conversations'},
ce_transistor_physics,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,,,,,{'autotutor knowledge check conversations'},
ce_transistor_voltage_divider_bias_behavior,,,"{'autotutor deep reasoning conversations', 'dragoon modeling'}",,,{'autotutor deep reasoning conversations'},,,,,,,,,
ce_transistor_voltage_divider_bias_dc_behavior,,,{'circuit reasoning'},,,{'autotutor deep reasoning conversations'},,,,,,,,,
clamper_behavior,,,,{'autotutor deep reasoning conversations'},,,,,,,,,,,
clamper_function,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,,,,,
clamper_structure,,,,{'autotutor knowledge check conversations'},,,,,,,,,,,
complexequivalentresistance_structure,,,,,,,,,,,,,{'electronic laws'},,
current_division_parameters,,,,,,,{'electronic laws'},,,,,,,,
diode_behavior_avalanche,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,
diode_behavior_forward,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",{'dragoon modeling'},,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",,,{'autotutor knowledge check conversations'},,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}"
diode_behavior_reverse,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",{'dragoon modeling'},,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}"
diode_physics,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,
diode_structure,,,,,,,,{'autotutor deep reasoning conversations'},,,,,,,
diodecurrent_function,,,,,,,,{'electronic laws'},,,,,,,
diodevoltage_function,,,,,,,,{'electronic laws'},,,,,,,
direct_coupled_multistage_amplifier_function,,,,,,{'autotutor knowledge check conversations'},,,,,,,,,
full_wave_rectifier_behavior,,,,,,,,,{'autotutor deep reasoning conversations'},,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,
half_wave_rectifier_behavior,,,,,,,,,{'autotutor deep reasoning conversations'},,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,
in_parallel_and_series_structure,,,,,,,,,,,,,{'electronic laws'},,
inductor_behavior,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",,,,,,,,,,
kirchhoffs_current_law,,,{'dragoon modeling'},,,,"{'autotutor knowledge check conversations', 'dragoon modeling'}",,,,,,,,
kirchhoffs_voltage_law,,,{'dragoon modeling'},{'dragoon modeling'},{'dragoon modeling'},,"{'autotutor knowledge check conversations', 'dragoon modeling'}",{'dragoon modeling'},,,,,,,
lc_coupled_multistage_amplifier_function,,,,,,{'autotutor deep reasoning conversations'},,,,,,,,,
lc_input_filter_behavior,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,,,,
limiter_behavior,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,,,,,
negative_biased_negative_clamper_behavior,,,,"{'autotutor knowledge check conversations', 'dragoon modeling'}",,,,,,,,,,,
negative_biased_positive_clamper_behavior,,,,"{'autotutor knowledge check conversations', 'dragoon modeling'}",,,,,,,,,,,
negative_clamper_behavior,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,,,,,
negative_half_wave_rectifier_behavior,,,,,,,,,{'autotutor deep reasoning conversations'},,{'autotutor deep reasoning conversations'},,,,
ohms_law_current,,,,,,,{'autotutor knowledge check conversations'},,,,,,,,
ohms_law_parameter,,,,,,,{'electronic laws'},,,,,,,,
ohms_law_voltage,,,{'dragoon modeling'},{'dragoon modeling'},{'dragoon modeling'},,"{'autotutor knowledge check conversations', 'dragoon modeling'}",{'dragoon modeling'},,,,{'circuit reasoning'},{'circuit reasoning'},,
parallel_negative_limiter_behavior,,,,"{'autotutor knowledge check conversations', 'dragoon modeling'}",,,,,,,,,,,
parallel_negative_limiter_with_bias_behavior,,,,{'autotutor deep reasoning conversations'},,,,,,,,,,,
parallel_negative_limiter_with_negative_bias_behavior,,,,"{'autotutor deep reasoning conversations', 'dragoon modeling'}",,,,,,,,,,,
parallel_negative_limiter_with_positive_bias_behavior,,,,{'dragoon modeling'},,,,,,,,,,,
parallel_positive_limiter_behavior,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",,,,,,,,,,,
parallel_positive_limiter_with_bias_behavior,,,,{'autotutor deep reasoning conversations'},,,,,,,,,,,
parallel_positive_limiter_with_negative_bias_behavior,,,,{'dragoon modeling'},,,,,,,,,,,
parallel_positive_limiter_with_positive_bias_behavior,,,,"{'autotutor deep reasoning conversations', 'dragoon modeling'}",,,,,,,,,,,
positive_biased_negative_clamper_behavior,,,,{'dragoon modeling'},,,,,,,,,,,
positive_biased_positive_clamper_behavior,,,,"{'autotutor knowledge check conversations', 'dragoon modeling'}",,,,,,,,,,,
positive_clamper_behavior,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",,,,,,,,,,,
positive_half_wave_rectifier_behavior,,,,,,,,,{'autotutor deep reasoning conversations'},,{'autotutor deep reasoning conversations'},,,,
power_supply_function,,,,,,,,,{'autotutor knowledge check conversations'},,,,,,
rc_circuit_behavior,,,,,{'electronic laws'},,,,,,,,,,
rc_coupled_multistage_amplifier_ac_behavior,,,{'autotutor deep reasoning conversations'},,,{'autotutor knowledge check conversations'},,,,,,,,,
rc_coupled_multistage_amplifier_function,,,,,,{'autotutor knowledge check conversations'},,,,,,,,,
rc_input_filter_behavior,,,,,{'autotutor knowledge check conversations'},,,,{'autotutor deep reasoning conversations'},,,,,,
rc_input_filter_function,,,,,{'autotutor knowledge check conversations'},,,,,,,,,,
resistance_structure,,,,,,,,,,,,,{'electronic laws'},,
resistor_behavior,,,{'dragoon modeling'},{'dragoon modeling'},{'dragoon modeling'},,,"{'autotutor knowledge check conversations', 'dragoon modeling'}",,,,{'circuit reasoning'},{'circuit reasoning'},,
resistor_capacitor_in_series_behavior,,,,,{'dragoon modeling'},,,,,,,,,,
resistor_inductor_in_series_behavior,,,,,{'dragoon modeling'},,,,,,,,,,
resistor_parallel_behavior,,,,,,,,,{'autotutor knowledge check conversations'},,,"{'circuit basics', 'autotutor knowledge check conversations', 'circuit reasoning'}","{'circuit basics', 'autotutor knowledge check conversations', 'circuit reasoning'}",,
resistor_series_behavior,,,,,,,{'circuit basics'},,{'autotutor knowledge check conversations'},,,"{'circuit basics', 'autotutor knowledge check conversations', 'circuit reasoning'}","{'circuit basics', 'autotutor knowledge check conversations', 'circuit reasoning'}",,
resistor_structure,,,,,,,,,,,,{'circuit reasoning'},{'circuit reasoning'},,
series_negative_limiter_behavior,,,,{'dragoon modeling'},,,,,,,,,,,
series_negative_limiter_with_negative_bias_behavior,,,,{'dragoon modeling'},,,,,,,,,,,
series_negative_limiter_with_positive_bias_behavior,,,,{'dragoon modeling'},,,,,,,,,,,
series_positive_limiter_behavior,,,,"{'autotutor knowledge check conversations', 'dragoon modeling'}",,,,,,,,,,,
series_positive_limiter_with_negative_bias_behavior,,,,{'dragoon modeling'},,,,,,,,,,,
series_positive_limiter_with_positive_bias_behavior,,,,{'dragoon modeling'},,,,,,,,,,,
transformer_coupled_multistage_amplifier_ac_function,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,,,
voltagedivider_parameters,,,,,,,{'electronic laws'},,,,,,,,
zener_diode_behavior,,,,{'autotutor deep reasoning conversations'},,,,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}"
zener_diode_behavior_avalanche,,,,,,,,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}"
zener_diode_behavior_forward,,,,{'autotutor deep reasoning conversations'},,,,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}"
zener_diode_behavior_reverse,,,,{'autotutor deep reasoning conversations'},,,,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}"
zener_diode_function,,,,,,,,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}"
zener_diode_parameters,,,,,,,,,,,,,,,{'autotutor knowledge check conversations'}
zener_voltage_regulator_behavior,,,,,,,,,,,,,,,{'autotutor knowledge check conversations'}
